BPCY (BIOMASS_KT_TEMP * R_EX_HAA);WYIELD biomass: BIOMASS_KT_TEMP product: R_EX_HAA ;;;solution;
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125, 'PP_0746': 16, 'PP_5227': 0.0625};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PRPPS': (0, 0.8644761100810252)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4963': 32, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125, 'PP_0746': 16, 'PP_5227': 0.0625};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-10000, -488.409503149622), 'PRPPS': (0, 0.8644761100810348)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4963': 32, 'PP_4401': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125, 'PP_0746': 16, 'PP_5227': 0.0625};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'OIVD1r': 0, 'PDH': (0, 0), 'GARFT': (3.516848627409132, 10000), 'PGK': (-10000, -488.40950314962083), 'PRPPS': (0, 0.8644761100810465)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0491': 0.125, 'PP_0746': 16, 'PP_5227': 0.0625};;{'GART': (0, 0), 'OIVD3': (0, 0), 'OIVD1r': 0, 'OIVD2': (0, 0), 'GARFT': (3.5168486274089923, 10000), 'PGK': (-10000, -486.7882068576709), 'PRPPS': (0, 0.8644761100810254)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0746': 16, 'PP_5227': 0.0625};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PGK': (-10000, -488.40950314962424), 'PRPPS': (0, 0.8644761100810252)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125, 'PP_5227': 0.0625};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PGK': (-10000, -488.40950314962424), 'PRPPS': (0, 0.8644761100810252)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125, 'PP_0746': 16};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PGK': (-10000, -488.40950314962424), 'PRPPS': (0, 0.8644761100810252)};
4.440298660710579;3.3322145735676942;;{'PP_4963': 32, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0, 'PP_0121': 2, 'PP_0746': 0.5};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274091135, 10000), 'PGK': (-10000, -488.40950314962055)};
4.440298660710579;3.3322145735676942;;{'PP_3597': 0.25, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0, 'PP_0121': 2, 'PP_0746': 0.5};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000)};
4.440298660710579;3.3322145735676942;;{'PP_3597': 0.25, 'PP_4963': 32, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0, 'PP_0121': 2, 'PP_0746': 0.5};;{'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.51684862740895, 10000), 'PGK': (-10000, -488.4095031496234)};
4.440298660710579;3.3322145735676942;;{'PP_3597': 0.25, 'PP_4963': 32, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0121': 2, 'PP_0746': 0.5};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-10000, -488.409503149622)};
4.440298660710579;3.3322145735676942;;{'PP_3597': 0.25, 'PP_4963': 32, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0121': 2, 'PP_0746': 0.5};;{'GART': (0, 0), 'GARFT': (3.5168486274089004, 10000), 'PGK': (-10000, -486.7882068576726)};
4.440298660710579;3.3322145735676942;;{'PP_3597': 0.25, 'PP_4963': 32, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0, 'PP_0746': 0.5};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-10000, -488.409503149622)};
4.440298660710579;3.3322145735676942;;{'PP_3597': 0.25, 'PP_4963': 32, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0, 'PP_0121': 2};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-10000, -488.409503149622)};
